Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Q1,Q2,Q3,Q4,Q5,Age,Gender,Household Income,Region,Device Type
10803678464,237700226,2019-06-17 20:26:12,2019-06-17 20:28:14,,,,,f6e9001297b0bee4fcc9f7b5b9,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,45-60,Female,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10803678314,237700226,2019-06-17 20:27:08,2019-06-17 20:28:07,,,,,2737b51a85c4e66e9a79546bb2,Strongly disagree,Strongly agree,Strongly disagree,Slightly agree,Moderately agree,> 60,Female,"$75,000-$99,999",Middle Atlantic,Other
10803678126,237700226,2019-06-17 20:26:59,2019-06-17 20:28:00,,,,,bea5ad69dc576bdfff505aff01,Slightly agree,Moderately agree,Moderately agree,Neither agree nor disagree,Slightly agree,45-60,Female,"$0-$9,999",East North Central,Android Phone / Tablet
10803678019,237700226,2019-06-17 20:26:50,2019-06-17 20:27:55,,,,,ea516a0c9309f192d0609a14dc,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,45-60,Female,"$0-$9,999",West North Central,Android Phone / Tablet
10803677785,237700226,2019-06-17 20:26:57,2019-06-17 20:27:44,,,,,0b19ebc88f1778868a85efbca6,Moderately disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,45-60,Female,"$75,000-$99,999",West North Central,Android Phone / Tablet
10803677394,237700226,2019-06-17 20:26:11,2019-06-17 20:27:27,,,,,b2d3ec031d34afff6c8c601de3,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,> 60,Female,"$10,000-$24,999",Pacific,Android Phone / Tablet
10803676981,237700226,2019-06-17 20:26:30,2019-06-17 20:27:08,,,,,ccba62559d0710bd147bbf5879,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Slightly disagree,45-60,Female,Prefer not to answer,West North Central,iOS Phone / Tablet
10803676560,237700226,2019-06-17 20:25:19,2019-06-17 20:26:47,,,,,2ed0b3c9242bca9c467804523f,Slightly disagree,Moderately disagree,Strongly agree,Slightly agree,Slightly agree,> 60,Female,"$75,000-$99,999",West North Central,MacOS Desktop / Laptop
10803676282,237700226,2019-06-17 20:24:52,2019-06-17 20:26:35,,,,,d20d5deb741582290ea602b9e0,Strongly disagree,Slightly agree,Strongly disagree,Moderately agree,Strongly disagree,> 60,Female,"$50,000-$74,999",Mountain,Android Phone / Tablet
10803676123,237700226,2019-06-17 20:25:28,2019-06-17 20:26:29,,,,,e66500fc1b2d240f4283ca479e,Moderately disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,> 60,Female,"$100,000-$124,999",Mountain,Windows Desktop / Laptop
10803676031,237700226,2019-06-17 20:25:31,2019-06-17 20:26:24,,,,,b79b9d81bc6260c35dea39d2f9,Strongly disagree,Moderately disagree,Slightly agree,Moderately agree,Moderately agree,45-60,Female,"$25,000-$49,999",Mountain,Android Phone / Tablet
10803675786,237700226,2019-06-17 20:25:13,2019-06-17 20:26:13,,,,,73b9398c74715053abd930557a,Slightly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,45-60,Female,"$175,000-$199,999",Mountain,Android Phone / Tablet
10803675275,237700226,2019-06-17 20:25:03,2019-06-17 20:25:49,,,,,35c9d5b796f024c0d9c29708e7,Strongly agree,Slightly disagree,Strongly disagree,Strongly agree,Slightly agree,45-60,Female,"$25,000-$49,999",East North Central,Android Phone / Tablet
10803675244,237700226,2019-06-17 20:23:23,2019-06-17 20:25:48,,,,,055bac4580bab02358182fc5ff,Neither agree nor disagree,Strongly agree,Slightly agree,Moderately agree,Strongly disagree,45-60,Female,"$25,000-$49,999",East South Central,Android Phone / Tablet
10803675038,237700226,2019-06-17 20:24:22,2019-06-17 20:25:39,,,,,17c450a2996b582d8e7b0172e6,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,45-60,Female,"$0-$9,999",South Atlantic,Android Phone / Tablet
10803674831,237700226,2019-06-17 20:23:54,2019-06-17 20:25:31,,,,,aece0642c1e7119a8e71ef1fc8,Slightly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,> 60,Female,"$10,000-$24,999",Middle Atlantic,iOS Phone / Tablet
10803674577,237700226,2019-06-17 20:23:22,2019-06-17 20:25:20,,,,,4ecc3ec87cde9bc3234558f289,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Moderately agree,45-60,Female,"$25,000-$49,999",West South Central,iOS Phone / Tablet
10803674443,237700226,2019-06-17 20:24:27,2019-06-17 20:25:13,,,,,5ef637332d9b4327d01b45fa65,Neither agree nor disagree,Slightly agree,Strongly agree,Neither agree nor disagree,Slightly agree,45-60,Female,"$25,000-$49,999",East South Central,iOS Phone / Tablet
10803674271,237700226,2019-06-17 20:23:51,2019-06-17 20:25:06,,,,,febc68cc02af8b2d597faa8419,Slightly disagree,Moderately disagree,Strongly agree,Neither agree nor disagree,Moderately disagree,45-60,Female,"$50,000-$74,999",,iOS Phone / Tablet
10803674224,237700226,2019-06-17 20:24:00,2019-06-17 20:25:04,,,,,6868d50935bf4e6705ce722253,Moderately disagree,Strongly disagree,Strongly agree,Moderately agree,Neither agree nor disagree,45-60,Female,"$50,000-$74,999",East North Central,Android Phone / Tablet
10803674211,237700226,2019-06-17 20:23:56,2019-06-17 20:25:03,,,,,23a316131f68faf02f3e786cac,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Moderately agree,> 60,Female,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop
10803674042,237700226,2019-06-17 20:23:36,2019-06-17 20:24:55,,,,,77ad8b55f0bfcb9749a0600caa,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,45-60,Female,"$150,000-$174,999",East North Central,Android Phone / Tablet
10803674004,237700226,2019-06-17 20:23:59,2019-06-17 20:24:54,,,,,329376d9693a30a18d84e72f75,Strongly disagree,Moderately disagree,Strongly disagree,Strongly agree,Strongly disagree,45-60,Female,"$10,000-$24,999",New England,Android Phone / Tablet
10803673710,237700226,2019-06-17 20:24:29,2019-06-17 20:24:40,,,,,5e3b9cfb16fb30166eaf6d46ca,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,45-60,Female,"$25,000-$49,999",Pacific,Android Phone / Tablet
10803673313,237700226,2019-06-17 20:23:08,2019-06-17 20:24:24,,,,,ae4969173fc681345efb63b2d3,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,45-60,Female,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
10803673103,237700226,2019-06-17 20:17:52,2019-06-17 20:24:14,,,,,ef183a495391ee335dd5393a81,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,45-60,Female,Prefer not to answer,East North Central,Windows Desktop / Laptop
10803672870,237700226,2019-06-17 20:23:15,2019-06-17 20:24:04,,,,,b576f7e2204426bd8dfbbc1c99,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,45-60,Female,"$75,000-$99,999",Middle Atlantic,Windows Desktop / Laptop
10803672363,237700226,2019-06-17 20:22:41,2019-06-17 20:23:40,,,,,801e569fa727af737b63db3c26,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,45-60,Female,"$0-$9,999",South Atlantic,iOS Phone / Tablet
10803671557,237700226,2019-06-17 20:22:13,2019-06-17 20:23:04,,,,,afdd34d8aa37ee01ddafb0e652,Strongly disagree,Moderately agree,Strongly agree,Strongly agree,Moderately disagree,> 60,Female,"$75,000-$99,999",East North Central,iOS Phone / Tablet
10803670712,237700226,2019-06-17 20:20:38,2019-06-17 20:22:27,,,,,7040a95b186087a2818b8a9b45,Moderately disagree,Slightly disagree,Moderately agree,Moderately agree,Strongly disagree,45-60,Female,"$100,000-$124,999",South Atlantic,Android Phone / Tablet
10803670475,237700226,2019-06-17 20:21:36,2019-06-17 20:22:17,,,,,45fa1a6993dcb30862cc321309,Moderately disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Moderately disagree,45-60,Female,"$150,000-$174,999",Middle Atlantic,iOS Phone / Tablet
10803670468,237700226,2019-06-17 20:19:53,2019-06-17 20:22:17,,,,,61fd837162ff07cb4ea51f3ef1,Moderately disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Moderately disagree,45-60,Female,"$100,000-$124,999",East South Central,iOS Phone / Tablet
10803670403,237700226,2019-06-17 20:20:00,2019-06-17 20:22:14,,,,,26d9e1d20c3183b5658dc0e499,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,45-60,Female,"$175,000-$199,999",Pacific,Windows Desktop / Laptop
10803669979,237700226,2019-06-17 20:20:24,2019-06-17 20:21:55,,,,,92ab2f3d53b98d2273cb92c251,Neither agree nor disagree,Moderately disagree,Moderately disagree,Moderately agree,Slightly disagree,> 60,Female,"$175,000-$199,999",South Atlantic,iOS Phone / Tablet
10803669786,237700226,2019-06-17 20:20:55,2019-06-17 20:21:46,,,,,a3d2ad87bde051c2cb5f68933b,Slightly disagree,Slightly agree,Strongly agree,Neither agree nor disagree,Moderately agree,45-60,Female,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
10803669655,237700226,2019-06-17 20:19:53,2019-06-17 20:21:40,,,,,5cbcbc0024df6e9028c0d1e0d8,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,45-60,Female,Prefer not to answer,West South Central,iOS Phone / Tablet
10803669221,237700226,2019-06-17 20:20:11,2019-06-17 20:21:17,,,,,40d5af24141672ffb6b48607d8,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,45-60,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10803668755,237700226,2019-06-17 20:20:00,2019-06-17 20:20:54,,,,,c49c0a2ea7040ccb234b8eb7c8,Strongly agree,Strongly agree,Strongly disagree,Slightly agree,Strongly disagree,45-60,Female,"$10,000-$24,999",West South Central,Android Phone / Tablet
10803668740,237700226,2019-06-17 20:19:41,2019-06-17 20:20:53,,,,,fec61c9843344ae24903d11354,Slightly agree,Moderately disagree,Strongly agree,Moderately agree,Moderately disagree,> 60,Female,Prefer not to answer,Pacific,Windows Desktop / Laptop
10803668734,237700226,2019-06-17 20:19:57,2019-06-17 20:20:53,,,,,647732689fc1797fa5031f67f1,Moderately disagree,Moderately agree,Strongly disagree,Strongly disagree,Moderately agree,> 60,Female,"$50,000-$74,999",East North Central,MacOS Desktop / Laptop
10803668666,237700226,2019-06-17 20:19:33,2019-06-17 20:20:50,,,,,a37122f57ab723f98f2dc93e57,Moderately disagree,Moderately agree,Strongly disagree,Strongly disagree,Moderately agree,45-60,Female,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
10803668625,237700226,2019-06-17 20:19:14,2019-06-17 20:20:48,,,,,5150483a37b71dccfb3f603e9f,Moderately disagree,Strongly agree,Strongly agree,Strongly disagree,Moderately agree,45-60,Female,"$0-$9,999",South Atlantic,Android Phone / Tablet
10803668544,237700226,2019-06-17 20:19:47,2019-06-17 20:20:44,,,,,a1e3420b91043443c35d18f679,Strongly disagree,Strongly agree,Strongly agree,Moderately agree,Neither agree nor disagree,45-60,Female,"$75,000-$99,999",Middle Atlantic,Android Phone / Tablet
10803668362,237700226,2019-06-17 20:19:10,2019-06-17 20:20:35,,,,,a4cf1a737ac3bf4b96677d7400,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Moderately agree,Moderately agree,45-60,Female,"$100,000-$124,999",Middle Atlantic,iOS Phone / Tablet
10803668257,237700226,2019-06-17 20:18:39,2019-06-17 20:20:31,,,,,9df218d99b3cfb5c1762c191b2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,45-60,Female,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
10803667719,237700226,2019-06-17 20:18:55,2019-06-17 20:20:07,,,,,4627da07d34f9201d1df98fde3,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,> 60,Female,Prefer not to answer,New England,Android Phone / Tablet
10803667281,237700226,2019-06-17 20:17:00,2019-06-17 20:19:45,,,,,0aecaa526c01ced02c27a0d171,Moderately disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,45-60,Female,"$10,000-$24,999",West South Central,iOS Phone / Tablet
10803667247,237700226,2019-06-17 20:18:53,2019-06-17 20:19:44,,,,,21b8cfdacda2d40ada46346c93,Moderately disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Slightly disagree,45-60,Female,"$50,000-$74,999",West North Central,Android Phone / Tablet
10803667236,237700226,2019-06-17 20:18:20,2019-06-17 20:19:43,,,,,09e605119c4d054d59092c131b,Strongly agree,Moderately disagree,Strongly agree,Strongly disagree,Moderately disagree,> 60,Female,"$100,000-$124,999",New England,iOS Phone / Tablet
10803666616,237700226,2019-06-17 20:17:14,2019-06-17 20:19:15,,,,,d28993673ee530c641aa71379b,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,45-60,Female,"$50,000-$74,999",Mountain,Android Phone / Tablet
10803666432,237700226,2019-06-17 20:17:32,2019-06-17 20:19:07,,,,,6470256ff5424280e3d8def6dc,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,> 60,Female,Prefer not to answer,South Atlantic,iOS Phone / Tablet
10803666365,237700226,2019-06-17 20:18:03,2019-06-17 20:19:04,,,,,3c6f0ef94c550d2ebe26786fc8,Slightly disagree,Moderately agree,Strongly agree,Slightly agree,Strongly disagree,> 60,Female,"$100,000-$124,999",East North Central,Windows Desktop / Laptop
10803666324,237700226,2019-06-17 20:18:19,2019-06-17 20:19:02,,,,,02b3dfe1778ccd6a7d892f5ed9,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Moderately agree,45-60,Female,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10803665909,237700226,2019-06-17 20:17:44,2019-06-17 20:18:45,,,,,cdaa72a39d35bf404f862758e1,Neither agree nor disagree,Neither agree nor disagree,Moderately agree,Moderately agree,Slightly agree,45-60,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10803665907,237700226,2019-06-17 20:17:03,2019-06-17 20:18:45,,,,,9e6614fdef5f67093ec94f4a04,Slightly agree,Slightly agree,Strongly agree,Neither agree nor disagree,Slightly disagree,45-60,Female,"$175,000-$199,999",East North Central,iOS Phone / Tablet
10803665863,237700226,2019-06-17 20:17:55,2019-06-17 20:18:43,,,,,a5614759b248620a8af609846d,Moderately disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,> 60,Female,"$50,000-$74,999",Middle Atlantic,Android Phone / Tablet
10803665058,237700226,2019-06-17 20:17:10,2019-06-17 20:18:06,,,,,b9f5c43842f3ccfb42067eedb8,Moderately disagree,Slightly disagree,Strongly agree,Strongly agree,Slightly disagree,> 60,Female,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
10803665044,237700226,2019-06-17 20:14:28,2019-06-17 20:18:05,,,,,cbe25ca13bd33dd4a903d742d1,Moderately agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Slightly disagree,> 60,Female,Prefer not to answer,East South Central,MacOS Desktop / Laptop
10803665041,237700226,2019-06-17 20:17:17,2019-06-17 20:18:05,,,,,d64620008b4a8423cb86f3231d,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Moderately agree,> 60,Female,Prefer not to answer,East North Central,Windows Desktop / Laptop
10803663279,237700226,2019-06-17 20:15:37,2019-06-17 20:16:46,,,,,dff40c0b53f565492134e87a52,Strongly disagree,Moderately agree,Strongly disagree,Strongly agree,Slightly disagree,45-60,Female,"$100,000-$124,999",East North Central,iOS Phone / Tablet
10803662833,237700226,2019-06-17 20:15:25,2019-06-17 20:16:28,,,,,194b7757891a1fd23c4d4a0b3a,Neither agree nor disagree,Moderately disagree,Strongly agree,Moderately agree,Slightly agree,45-60,Female,"$10,000-$24,999",West South Central,Android Phone / Tablet
10803662407,237700226,2019-06-17 20:15:03,2019-06-17 20:16:10,,,,,b87b89a54b5a2499f71403d72a,Neither agree nor disagree,Slightly agree,Strongly agree,Moderately agree,Slightly agree,45-60,Female,"$75,000-$99,999",South Atlantic,iOS Phone / Tablet
10803662277,237700226,2019-06-17 20:14:47,2019-06-17 20:16:03,,,,,398db0a091ca89b209fbbccf70,Neither agree nor disagree,Moderately disagree,Strongly agree,Strongly agree,Slightly disagree,45-60,Female,"$175,000-$199,999",New England,Windows Desktop / Laptop
10803661825,237700226,2019-06-17 20:14:32,2019-06-17 20:15:42,,,,,16e6d507e2cf2db9a7bb986225,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Moderately agree,45-60,Female,"$100,000-$124,999",West North Central,iOS Phone / Tablet
10803661668,237700226,2019-06-17 20:14:22,2019-06-17 20:15:35,,,,,56d9333f7c0859a384aa6ad09e,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,> 60,Female,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10803661631,237700226,2019-06-17 20:14:40,2019-06-17 20:15:34,,,,,68630c05c2343b0f67e5ba9f03,Neither agree nor disagree,Moderately disagree,Strongly agree,Moderately disagree,Neither agree nor disagree,45-60,Female,"$125,000-$149,999",Middle Atlantic,iOS Phone / Tablet
10803661497,237700226,2019-06-17 20:14:27,2019-06-17 20:15:28,,,,,fe695f637033870313e3d67ef1,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,45-60,Female,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
10803661398,237700226,2019-06-17 20:14:12,2019-06-17 20:15:23,,,,,1238588851f5d3f5c1c1c6948e,Slightly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,45-60,Female,"$25,000-$49,999",Pacific,Android Phone / Tablet
10803661167,237700226,2019-06-17 20:03:54,2019-06-17 20:15:13,,,,,6f03be453f219727109763f8ef,Strongly disagree,Moderately agree,Moderately disagree,Moderately disagree,Slightly disagree,45-60,Female,"$10,000-$24,999",Mountain,Android Phone / Tablet
10803660886,237700226,2019-06-17 20:14:24,2019-06-17 20:15:00,,,,,f06b2b391ee4c44f58f2474c0e,Moderately disagree,Slightly agree,Strongly agree,Strongly disagree,Moderately disagree,45-60,Female,"$125,000-$149,999",Pacific,Android Phone / Tablet
10803660758,237700226,2019-06-17 20:12:47,2019-06-17 20:14:54,,,,,7eb3f4427e8339f57154ec3a0d,Moderately disagree,Strongly agree,Strongly agree,Strongly disagree,Moderately disagree,45-60,Female,"$25,000-$49,999",Middle Atlantic,iOS Phone / Tablet
10803660371,237700226,2019-06-17 20:13:36,2019-06-17 20:14:38,,,,,2fb13a2a636169e04bd612c101,Neither agree nor disagree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,45-60,Female,Prefer not to answer,Mountain,Android Phone / Tablet
10803660158,237700226,2019-06-17 20:13:46,2019-06-17 20:14:30,,,,,23f2e5be81acedd9789a8506a6,Moderately disagree,Slightly agree,Strongly agree,Neither agree nor disagree,Slightly disagree,> 60,Female,"$50,000-$74,999",New England,iOS Phone / Tablet
10803660091,237700226,2019-06-17 20:13:33,2019-06-17 20:14:26,,,,,4909be195a269a9ffea6a04b77,Strongly disagree,Moderately agree,Strongly agree,Strongly disagree,Neither agree nor disagree,45-60,Female,"$0-$9,999",Pacific,Android Phone / Tablet
10803659735,237700226,2019-06-17 20:13:06,2019-06-17 20:14:08,,,,,6c2be1bb16bda10698beb79bc9,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,45-60,Female,"$125,000-$149,999",South Atlantic,Android Phone / Tablet
10803658694,237700226,2019-06-17 20:12:21,2019-06-17 20:13:22,,,,,0d2cfa00cfdc6cfc744f2fa2cf,Moderately agree,Slightly disagree,Strongly agree,Strongly agree,Strongly disagree,45-60,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
10803657517,237700226,2019-06-17 20:11:03,2019-06-17 20:12:30,,,,,3dab5d2d8bbae3125575012ff3,Moderately agree,Strongly disagree,Moderately agree,Moderately disagree,Moderately agree,45-60,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10803657183,237700226,2019-06-17 20:11:32,2019-06-17 20:12:14,,,,,44bd40a9dd93aeedf5bb1f0f29,Moderately agree,Moderately disagree,Strongly disagree,Moderately agree,Moderately agree,> 60,Female,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
10803657056,237700226,2019-06-17 20:06:28,2019-06-17 20:12:07,,,,,3836cbfb4b646e8533b90159e7,Moderately disagree,Moderately agree,Slightly disagree,Neither agree nor disagree,Moderately agree,> 60,Female,"$50,000-$74,999",New England,iOS Phone / Tablet
10803656813,237700226,2019-06-17 20:11:10,2019-06-17 20:11:57,,,,,0aff4fd937e0c84788485a0de0,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,45-60,Female,"$10,000-$24,999",East North Central,iOS Phone / Tablet
10803656441,237700226,2019-06-17 20:10:01,2019-06-17 20:11:39,,,,,added8dd58ab899908c9d02a90,Neither agree nor disagree,Moderately disagree,Strongly agree,Moderately disagree,Strongly disagree,45-60,Female,"$200,000+",Middle Atlantic,MacOS Desktop / Laptop
10803655570,237700226,2019-06-17 20:09:56,2019-06-17 20:10:59,,,,,3ff55cc732e81691ceef185d18,Moderately disagree,Slightly disagree,Strongly agree,Moderately agree,Neither agree nor disagree,45-60,Female,"$10,000-$24,999",East North Central,Android Phone / Tablet
10803655434,237700226,2019-06-17 20:10:19,2019-06-17 20:10:54,,,,,6c6440928b900fd10b6210be98,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Moderately disagree,45-60,Female,"$50,000-$74,999",New England,iOS Phone / Tablet
10803655220,237700226,2019-06-17 20:09:50,2019-06-17 20:10:44,,,,,c42adb7a670fd095a750505a73,Neither agree nor disagree,Moderately agree,Strongly agree,Strongly agree,Slightly agree,> 60,Female,"$50,000-$74,999",Pacific,Android Phone / Tablet
10803655155,237700226,2019-06-17 20:09:36,2019-06-17 20:10:42,,,,,6bc697e55f4d232dbfd9f7491a,Moderately disagree,Moderately disagree,Strongly agree,Strongly disagree,Moderately disagree,45-60,Female,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
10803655066,237700226,2019-06-17 20:09:24,2019-06-17 20:10:38,,,,,f818ca4185403ba86ca4677221,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Slightly agree,45-60,Female,"$75,000-$99,999",South Atlantic,Windows Desktop / Laptop
10803654962,237700226,2019-06-17 20:09:03,2019-06-17 20:10:33,,,,,74553e2ea43a04f3368190fb15,Slightly disagree,Slightly disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,45-60,Female,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
10803654682,237700226,2019-06-17 20:09:21,2019-06-17 20:10:20,,,,,f7bb0d2d4bc1c47ef0ae73fc91,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,45-60,Female,"$50,000-$74,999",East South Central,iOS Phone / Tablet
