Respondent ID,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Age,Gender,Household Income,Region,Device Type
10803845756,Roaming outdoor cats harm wildlife,Neither agree nor disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats not intended for breeding need not be spayed or neutered,Moderately agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Slightly agree,Roaming outdoor cats do not pose a risk to human health,Slightly agree,> 60,Male,"$125,000-$149,999",Middle Atlantic,Android Phone / Tablet
10803844279,Roaming outdoor cats harm wildlife,Strongly agree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly disagree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly agree,Roaming outdoor cats pose a risk to human health<br>,Strongly agree,> 60,Male,"$150,000-$174,999",Pacific,Windows Desktop / Laptop
10803843584,Roaming outdoor cats harm wildlife,Slightly disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly disagree,Pet cats should be spayed or neutered unless intended for breeding,Neither agree nor disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Neither agree nor disagree,Roaming outdoor cats pose a risk to human health<br>,Neither agree nor disagree,45-60,Male,"$10,000-$24,999",East North Central,iOS Phone / Tablet
10803843480,Roaming outdoor cats do not harm wildlife,Strongly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly agree,Roaming outdoor cats do not pose a risk to human health,Strongly agree,45-60,Male,"$0-$9,999",East South Central,iOS Phone / Tablet
10803843289,Roaming outdoor cats harm wildlife,Moderately disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Moderately disagree,Pet cats not intended for breeding need not be spayed or neutered,Slightly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Slightly agree,Roaming outdoor cats pose a risk to human health<br>,Moderately disagree,45-60,Male,Prefer not to answer,East North Central,Android Phone / Tablet
10803842598,Roaming outdoor cats harm wildlife,Moderately agree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly disagree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly agree,Roaming outdoor cats pose a risk to human health<br>,Moderately disagree,45-60,Male,"$125,000-$149,999",South Atlantic,iOS Phone / Tablet
10803842370,Roaming outdoor cats do not harm wildlife,Moderately disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Moderately disagree,Pet cats should be spayed or neutered unless intended for breeding,Moderately agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Moderately agree,Roaming outdoor cats do not pose a risk to human health,Moderately disagree,> 60,Male,"$50,000-$74,999",East North Central,Windows Desktop / Laptop
10803840884,Roaming outdoor cats harm wildlife,Moderately agree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly agree,Pet cats not intended for breeding need not be spayed or neutered,Moderately agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Moderately agree,Roaming outdoor cats do not pose a risk to human health,Moderately agree,45-60,Male,"$0-$9,999",South Atlantic,Android Phone / Tablet
10803839265,Roaming outdoor cats do not harm wildlife,Strongly disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly agree,Roaming outdoor cats pose a risk to human health<br>,Moderately disagree,> 60,Male,"$200,000+",South Atlantic,Windows Desktop / Laptop
10803837069,Roaming outdoor cats harm wildlife,Moderately disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats not intended for breeding need not be spayed or neutered,Slightly disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Slightly agree,Roaming outdoor cats pose a risk to human health<br>,Neither agree nor disagree,45-60,Male,"$175,000-$199,999",East North Central,iOS Phone / Tablet
10803836972,Roaming outdoor cats do not harm wildlife,Strongly disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly agree,Roaming outdoor cats do not pose a risk to human health,Strongly disagree,45-60,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10803836670,Roaming outdoor cats harm wildlife,Strongly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Moderately disagree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Slightly agree,Roaming outdoor cats do not pose a risk to human health,Slightly disagree,> 60,Male,"$100,000-$124,999",New England,MacOS Desktop / Laptop
10803836437,Roaming outdoor cats do not harm wildlife,Strongly disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Slightly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Neither agree nor disagree,Roaming outdoor cats pose a risk to human health<br>,Strongly agree,> 60,Male,"$175,000-$199,999",East South Central,iOS Phone / Tablet
10803835947,Roaming outdoor cats harm wildlife,Moderately agree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly disagree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Strongly agree,Roaming outdoor cats pose a risk to human health<br>,Strongly agree,45-60,Male,"$50,000-$74,999",East South Central,Android Phone / Tablet
10803835928,Roaming outdoor cats do not harm wildlife,Strongly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Strongly agree,Roaming outdoor cats pose a risk to human health<br>,Strongly agree,45-60,Male,"$75,000-$99,999",West South Central,Android Phone / Tablet
10803835689,Roaming outdoor cats do not harm wildlife,Strongly disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly disagree,Pet cats not intended for breeding need not be spayed or neutered,Strongly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Neither agree nor disagree,Roaming outdoor cats do not pose a risk to human health,Strongly agree,> 60,Male,"$100,000-$124,999",East North Central,Windows Desktop / Laptop
10803835334,Roaming outdoor cats harm wildlife,Slightly disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats should be spayed or neutered unless intended for breeding,Strongly disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Strongly disagree,Roaming outdoor cats pose a risk to human health<br>,Neither agree nor disagree,30-44,Male,"$0-$9,999",Pacific,iOS Phone / Tablet
10803834942,Roaming outdoor cats harm wildlife,Moderately agree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Slightly agree,Roaming outdoor cats pose a risk to human health<br>,Neither agree nor disagree,45-60,Male,"$50,000-$74,999",Mountain,Android Phone / Tablet
10803832886,Roaming outdoor cats harm wildlife,Moderately agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Moderately agree,Pet cats not intended for breeding need not be spayed or neutered,Moderately disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Slightly agree,Roaming outdoor cats do not pose a risk to human health,Moderately disagree,> 60,Male,"$75,000-$99,999",West North Central,Android Phone / Tablet
10803832595,Roaming outdoor cats harm wildlife,Moderately disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly agree,Pet cats should be spayed or neutered unless intended for breeding,Slightly disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Moderately disagree,Roaming outdoor cats do not pose a risk to human health,Neither agree nor disagree,18-29,Male,"$200,000+",Pacific,Android Phone / Tablet
10803831742,Roaming outdoor cats harm wildlife,Slightly disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Moderately agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly agree,Roaming outdoor cats do not pose a risk to human health,Slightly disagree,45-60,Male,"$150,000-$174,999",South Atlantic,Android Phone / Tablet
10803830736,Roaming outdoor cats harm wildlife,Moderately agree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly agree,Pet cats not intended for breeding need not be spayed or neutered,Strongly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly disagree,Roaming outdoor cats pose a risk to human health<br>,Slightly disagree,45-60,Male,"$50,000-$74,999",West North Central,Android Phone / Tablet
10803830538,Roaming outdoor cats do not harm wildlife,Moderately disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly disagree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Slightly agree,Roaming outdoor cats pose a risk to human health<br>,Moderately agree,45-60,Male,"$175,000-$199,999",Middle Atlantic,iOS Phone / Tablet
10803830471,Roaming outdoor cats do not harm wildlife,Neither agree nor disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats not intended for breeding need not be spayed or neutered,Neither agree nor disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Neither agree nor disagree,Roaming outdoor cats do not pose a risk to human health,Neither agree nor disagree,30-44,Male,"$100,000-$124,999",Mountain,iOS Phone / Tablet
10803829450,Roaming outdoor cats do not harm wildlife,Neither agree nor disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly disagree,Pet cats should be spayed or neutered unless intended for breeding,Neither agree nor disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Slightly disagree,Roaming outdoor cats pose a risk to human health<br>,Neither agree nor disagree,45-60,Male,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
10803829052,Roaming outdoor cats harm wildlife,Strongly agree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Moderately disagree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Slightly agree,Roaming outdoor cats pose a risk to human health<br>,Slightly disagree,> 60,Male,"$100,000-$124,999",East North Central,iOS Phone / Tablet
10803827601,Roaming outdoor cats do not harm wildlife,Moderately disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly disagree,Pet cats not intended for breeding need not be spayed or neutered,Moderately agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Slightly agree,Roaming outdoor cats pose a risk to human health<br>,Moderately disagree,30-44,Male,"$50,000-$74,999",West North Central,Android Phone / Tablet
10803826672,Roaming outdoor cats harm wildlife,Moderately agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Moderately agree,Pet cats not intended for breeding need not be spayed or neutered,Moderately agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Slightly disagree,Roaming outdoor cats do not pose a risk to human health,Neither agree nor disagree,45-60,Male,"$75,000-$99,999",Pacific,Android Phone / Tablet
10803826552,Roaming outdoor cats harm wildlife,Slightly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats not intended for breeding need not be spayed or neutered,Slightly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Slightly agree,Roaming outdoor cats pose a risk to human health<br>,Slightly agree,45-60,Male,"$150,000-$174,999",Middle Atlantic,iOS Phone / Tablet
10803824829,Roaming outdoor cats harm wildlife,Strongly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly disagree,Roaming outdoor cats do not pose a risk to human health,Strongly disagree,> 60,Male,"$25,000-$49,999",West North Central,Windows Desktop / Laptop
10803823353,Roaming outdoor cats do not harm wildlife,Slightly disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Strongly agree,Roaming outdoor cats do not pose a risk to human health,Slightly disagree,45-60,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10803823130,Roaming outdoor cats harm wildlife,Strongly disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly disagree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly disagree,Roaming outdoor cats do not pose a risk to human health,Strongly agree,18-29,Male,"$0-$9,999",South Atlantic,iOS Phone / Tablet
10803819506,Roaming outdoor cats harm wildlife,Slightly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly agree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Neither agree nor disagree,Roaming outdoor cats pose a risk to human health<br>,Slightly agree,> 60,Male,"$200,000+",New England,iOS Phone / Tablet
10803819198,Roaming outdoor cats harm wildlife,Neither agree nor disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats not intended for breeding need not be spayed or neutered,Slightly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Slightly disagree,Roaming outdoor cats pose a risk to human health<br>,Neither agree nor disagree,45-60,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10803818436,Roaming outdoor cats do not harm wildlife,Slightly disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly disagree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Strongly agree,Roaming outdoor cats pose a risk to human health<br>,Strongly disagree,45-60,Male,"$75,000-$99,999",South Atlantic,Android Phone / Tablet
10803816665,Roaming outdoor cats do not harm wildlife,Slightly disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly agree,Pet cats not intended for breeding need not be spayed or neutered,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Strongly disagree,Roaming outdoor cats do not pose a risk to human health,Slightly disagree,18-29,Male,"$75,000-$99,999",Middle Atlantic,iOS Phone / Tablet
10803813455,Roaming outdoor cats do not harm wildlife,Slightly disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Neither agree nor disagree,Roaming outdoor cats do not pose a risk to human health,Slightly disagree,> 60,Male,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
10803811420,Roaming outdoor cats do not harm wildlife,Strongly disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats not intended for breeding need not be spayed or neutered,Strongly disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Neither agree nor disagree,Roaming outdoor cats do not pose a risk to human health,Strongly disagree,> 60,Male,"$75,000-$99,999",Mountain,Windows Desktop / Laptop
10803810686,Roaming outdoor cats harm wildlife,Strongly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Moderately agree,Roaming outdoor cats pose a risk to human health<br>,Moderately agree,> 60,Male,"$175,000-$199,999",Middle Atlantic,Windows Desktop / Laptop
10803806662,Roaming outdoor cats do not harm wildlife,Neither agree nor disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Moderately agree,Pet cats not intended for breeding need not be spayed or neutered,Moderately disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Slightly disagree,Roaming outdoor cats pose a risk to human health<br>,Neither agree nor disagree,> 60,Male,"$175,000-$199,999",West South Central,iOS Phone / Tablet
10803806277,Roaming outdoor cats harm wildlife,Slightly disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Strongly agree,Roaming outdoor cats do not pose a risk to human health,Strongly agree,45-60,Male,"$75,000-$99,999",West North Central,Android Phone / Tablet
10803805095,Roaming outdoor cats harm wildlife,Slightly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Moderately agree,Roaming outdoor cats pose a risk to human health<br>,Neither agree nor disagree,45-60,Male,"$75,000-$99,999",Mountain,Android Phone / Tablet
10803804198,Roaming outdoor cats do not harm wildlife,Strongly disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly agree,Roaming outdoor cats do not pose a risk to human health,Strongly disagree,> 60,Male,"$75,000-$99,999",South Atlantic,iOS Phone / Tablet
10803802488,Roaming outdoor cats do not harm wildlife,Strongly disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Strongly agree,Roaming outdoor cats pose a risk to human health<br>,Strongly disagree,45-60,Male,"$10,000-$24,999",Pacific,iOS Phone / Tablet
10803800081,Roaming outdoor cats do not harm wildlife,Moderately agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats should be spayed or neutered unless intended for breeding,Moderately agree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Neither agree nor disagree,Roaming outdoor cats do not pose a risk to human health,Moderately agree,18-29,Male,"$25,000-$49,999",Mountain,Android Phone / Tablet
10803799685,Roaming outdoor cats harm wildlife,Strongly agree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Moderately disagree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Strongly disagree,Roaming outdoor cats do not pose a risk to human health,Moderately disagree,18-29,Male,"$10,000-$24,999",Pacific,Android Phone / Tablet
10803798559,Roaming outdoor cats do not harm wildlife,Strongly disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Strongly agree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Moderately disagree,Roaming outdoor cats pose a risk to human health<br>,Strongly disagree,> 60,Male,"$50,000-$74,999",Pacific,Android Phone / Tablet
10803797842,Roaming outdoor cats harm wildlife,Moderately disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly agree,Pet cats not intended for breeding need not be spayed or neutered,Moderately disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Neither agree nor disagree,Roaming outdoor cats pose a risk to human health<br>,Moderately agree,> 60,Male,"$100,000-$124,999",Middle Atlantic,iOS Phone / Tablet
10803797823,Roaming outdoor cats harm wildlife,Slightly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly disagree,Pet cats not intended for breeding need not be spayed or neutered,Slightly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Slightly agree,Roaming outdoor cats do not pose a risk to human health,Slightly disagree,18-29,Male,"$100,000-$124,999",Pacific,iOS Phone / Tablet
10803794160,Roaming outdoor cats harm wildlife,Slightly agree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly agree,Pet cats should be spayed or neutered unless intended for breeding,Neither agree nor disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Moderately agree,Roaming outdoor cats do not pose a risk to human health,Slightly disagree,18-29,Female,"$75,000-$99,999",Mountain,Android Phone / Tablet
10803792499,Roaming outdoor cats harm wildlife,Neither agree nor disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Slightly disagree,Pet cats should be spayed or neutered unless intended for breeding,Neither agree nor disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Slightly agree,Roaming outdoor cats do not pose a risk to human health,Slightly disagree,45-60,Male,"$75,000-$99,999",West South Central,Android Phone / Tablet
10803791630,Roaming outdoor cats harm wildlife,Neither agree nor disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats not intended for breeding need not be spayed or neutered,Moderately disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Moderately disagree,Roaming outdoor cats pose a risk to human health<br>,Neither agree nor disagree,> 60,Male,"$75,000-$99,999",South Atlantic,iOS Phone / Tablet
10803788262,Roaming outdoor cats harm wildlife,Moderately disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats should be spayed or neutered unless intended for breeding,Strongly agree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Slightly disagree,Roaming outdoor cats do not pose a risk to human health,Slightly disagree,> 60,Male,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
10803788072,Roaming outdoor cats harm wildlife,Neither agree nor disagree,"People should keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats not intended for breeding need not be spayed or neutered,Neither agree nor disagree,Pet cats need not be microchipped (a microchip is a small identification device inserted under the animal's skin),Neither agree nor disagree,Roaming outdoor cats pose a risk to human health<br>,Slightly agree,30-44,Male,"$150,000-$174,999",Pacific,Android Phone / Tablet
10803786992,Roaming outdoor cats harm wildlife,Moderately disagree,"People need not keep their cats indoors or under a person's control (e.g., leash, catio) while outdoors",Neither agree nor disagree,Pet cats should be spayed or neutered unless intended for breeding,Neither agree nor disagree,Pet cats should be microchipped (a microchip is a small identification device inserted under the animal's skin)<br>,Slightly disagree,Roaming outdoor cats do not pose a risk to human health,Moderately agree,45-60,Male,"$25,000-$49,999",West South Central,iOS Phone / Tablet
